ID1,ID2,Time,Value,RDPI,Year,Month,WeekOfMonth,WeekOfYear,IsUsNewYearsDay,IsUsLaborDay,IsBlackFriday,IsChristmasDay,FreqCos1,FreqSin1,FreqCos2,FreqSin2,FreqCos3,FreqSin3,FreqCos4,FreqSin4,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16,Lag17,Lag18,Lag19,Lag20,Lag21,Lag22,Lag23,Lag24,Lag25,Lag26
1,2,3/27/2021 9:00:01 AM,5.123963979403259,11753.2,2021,3,4,13,False,False,False,False,-1.6081226496766366E-16,1,-1,-3.216245299353273E-16,-1,-1,6.432490598706546E-16,6.432490598706546E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3/20/2021 9:00:01 AM,4.836281906951478,11753.2,2021,3,3,12,False,False,False,False,0.120536680255323,0.992708874098054,-0.970941817426052,0.23931566428755768,-0.9350162426854147,-0.9350162426854147,-0.4647231720437684,-0.4647231720437684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3/13/2021 9:00:01 AM,5.337538079701318,11753.2,2021,3,2,11,False,False,False,False,0.23931566428755804,0.970941817426052,-0.8854560256532096,0.46472317204376906,-0.7485107481711009,-0.7485107481711009,-0.822983865893657,-0.822983865893657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3/6/2021 9:00:01 AM,5.3471075307174685,11753.2,2021,3,1,10,False,False,False,False,0.35460488704253557,0.9350162426854148,-0.7485107481711012,0.6631226582407952,-0.46472317204376806,-0.46472317204376806,-0.992708874098054,-0.992708874098054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2/27/2021 9:00:01 AM,5.075173815233827,11696.6,2021,2,4,9,False,False,False,False,0.4647231720437686,0.8854560256532099,-0.5680647467311557,0.8229838658936565,-0.12053668025532283,-0.12053668025532283,-0.9350162426854147,-0.9350162426854147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2/20/2021 9:00:01 AM,5.170483995038151,11696.6,2021,2,3,8,False,False,False,False,0.5680647467311559,0.8229838658936564,-0.35460488704253545,0.9350162426854148,0.23931566428755768,0.23931566428755768,-0.663122658240795,-0.663122658240795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2/13/2021 9:00:01 AM,5.135798437050262,11696.6,2021,2,2,7,False,False,False,False,0.6631226582407953,0.7485107481711011,-0.12053668025532288,0.992708874098054,0.5680647467311558,0.5680647467311558,-0.23931566428755743,-0.23931566428755743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2/6/2021 9:00:01 AM,5.356586274672012,11696.6,2021,2,1,6,False,False,False,False,0.7485107481711011,0.6631226582407952,0.120536680255323,0.992708874098054,0.8229838658936565,0.8229838658936565,0.23931566428755768,0.23931566428755768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1/30/2021 9:00:01 AM,5.099866427824199,11725.6,2021,1,5,5,False,False,False,False,0.8229838658936564,0.5680647467311558,0.35460488704253557,0.9350162426854148,0.9709418174260521,0.9709418174260521,0.6631226582407952,0.6631226582407952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1/23/2021 9:00:01 AM,5.159055299214529,11725.6,2021,1,4,4,False,False,False,False,0.8854560256532099,0.4647231720437685,0.5680647467311559,0.8229838658936564,0.992708874098054,0.992708874098054,0.9350162426854148,0.9350162426854148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1/16/2021 9:00:01 AM,5.472270673671475,11725.6,2021,1,3,3,False,False,False,False,0.9350162426854148,0.3546048870425356,0.7485107481711011,0.6631226582407952,0.8854560256532099,0.8854560256532099,0.992708874098054,0.992708874098054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1/9/2021 9:00:01 AM,5.181783550292085,11725.6,2021,1,2,2,False,False,False,False,0.970941817426052,0.23931566428755774,0.8854560256532099,0.4647231720437685,0.6631226582407952,0.6631226582407952,0.8229838658936564,0.8229838658936564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1/2/2021 9:00:01 AM,5.075173815233827,11725.6,2021,1,1,1,False,False,False,False,0.992708874098054,0.12053668025532305,0.970941817426052,0.23931566428755774,0.3546048870425356,0.3546048870425356,0.4647231720437685,0.4647231720437685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12/26/2020 9:00:01 AM,4.969813299576001,11713,2020,12,4,52,True,False,False,False,1,6.432490598706546E-16,1,1.2864981197413093E-15,-7.347880794884119E-16,-7.347880794884119E-16,2.5729962394826186E-15,2.5729962394826186E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
